,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%),인원수,증감률(%)
"2010","04","아시아","마카오","473","-5.96","473","-5.21","0","-100.00","0","0.00","0","0.00","0","0.00"
"2010","04","아시아","필리핀","26,529","9.42","7,580","11.73","272","47.83","90","-21.74","23","-32.35","18,564","8.38"
"2010","04","아시아","인도네시아","7,516","33.98","3,002","57.01","529","78.72","17","0.00","11","-15.38","3,957","17.35"
"2010","04","아시아","태국","33,398","52.20","29,014","63.93","46","6.98","29","20.83","18","20.00","4,291","3.07"
"2010","04","아시아","베트남","7,152","9.54","3,996","11.74","547","4.99","20","233.33","70","40.00","2,519","6.02"
"2010","04","아시아","인도","7,155","19.65","1,420","-14.77","2,174","88.88","17","-5.56","22","37.50","3,522","12.56"
"2010","04","아시아","말레이시아","11,591","34.65","10,350","42.64","56","14.29","3","50.00","9","125.00","1,173","-9.56"
"2010","04","아시아","싱가포르","8,732","-3.15","7,588","-1.45","143","44.44","5","400.00","10","233.33","986","-18.71"
"2010","04","아시아","몽골","2,512","3.67","1,885","19.00","250","-7.75","4","300.00","75","10.29","298","-40.28"
"2010","04","아시아","우즈베키스탄","1,296","25.83","273","46.77","314","-13.26","2","-87.50","9","-43.75","698","55.11"
"2010","04","아시아","미얀마","5,068","11.36","858","19.50","53","89.29","16","60.00","3","-40.00","4,138","9.18"
"2010","04","아시아","GCC","691","69.36","476","73.72","134","32.67","18","500.00","6","50.00","57","119.23"
"2010","04","아시아","카자흐스탄","804","82.73","543","142.41","101","94.23","28","0.00","5","0.00","127","-20.13"
"2010","04","아시아","터키","1,676","62.09","1,220","111.81","8","-61.90","7","250.00","2","0.00","439","1.39"
"2010","04","아시아","캄보디아","547","33.41","403","44.44","19","-17.39","3","50.00","1","-75.00","121","18.63"
"2010","04","아시아","스리랑카","559","-11.69","135","-7.53","43","-23.21","3","-72.73","0","-100.00","378","-9.79"
"2010","04","아시아","방글라데시","577","49.48","166","58.10","109","2.83","31","-11.43","11","120.00","260","92.59"
"2010","04","아시아","파키스탄","675","2.74","173","22.70","249","-3.11","3","-50.00","10","100.00","240","-3.23"
"2010","04","아시아","이스라엘","1,165","63.85","1,069","62.46","12","140.00","0","-100.00","3","0.00","81","84.09"
"2010","04","아시아","이란","614","23.54","97","-27.07","428","99.07","0","0.00","3","200.00","86","-41.89"
"2010","04","아시아","아시아 기타","2,008","44.05","929","64.13","706","21.31","41","-25.45","15","-11.76","317","82.18"
"2010","04","아시아 소계","","561,228","3.17","441,816","1.20","20,886","16.33","634","-8.91","2,697","3.21","95,195","10.49"
"2010","04","아메리카","미국","59,616","13.39","45,939","16.15","1,121","-17.75","2,424","-2.92","48","-20.00","10,084","10.72"
